,Time Steps,Average Total Reward
0,1000,-200.0
1,2000,-200.0
2,3000,-200.0
3,4000,-200.0
4,5000,-200.0
5,6000,-170.8
6,7000,-200.0
7,8000,-200.0
8,9000,-200.0
9,10000,-200.0
10,11000,-200.0
11,12000,-200.0
12,13000,-200.0
13,14000,-200.0
14,15000,-200.0
15,16000,-200.0
16,17000,-200.0
17,18000,-200.0
18,19000,-200.0
19,20000,-200.0
20,21000,-200.0
21,22000,-200.0
22,23000,-200.0
23,24000,-200.0
24,25000,-200.0
25,26000,-200.0
26,27000,-200.0
27,28000,-200.0
28,29000,-200.0
29,30000,-174.6
30,31000,-200.0
31,32000,-200.0
32,33000,-200.0
33,34000,-200.0
34,35000,-200.0
35,36000,-200.0
36,37000,-200.0
37,38000,-200.0
38,39000,-200.0
39,40000,-200.0
40,41000,-200.0
41,42000,-200.0
42,43000,-200.0
43,44000,-200.0
44,45000,-200.0
45,46000,-200.0
46,47000,-200.0
47,48000,-200.0
48,49000,-200.0
49,50000,-200.0
50,51000,-200.0
51,52000,-200.0
52,53000,-200.0
53,54000,-200.0
54,55000,-200.0
55,56000,-179.6
56,57000,-200.0
57,58000,-200.0
58,59000,-178.0
59,60000,-157.6
60,61000,-200.0
61,62000,-200.0
62,63000,-180.8
63,64000,-140.2
64,65000,-200.0
65,66000,-200.0
66,67000,-200.0
67,68000,-150.6
68,69000,-200.0
69,70000,-134.2
70,71000,-178.2
71,72000,-200.0
72,73000,-200.0
73,74000,-111.2
74,75000,-200.0
75,76000,-200.0
76,77000,-200.0
77,78000,-200.0
78,79000,-189.4
79,80000,-146.2
80,81000,-94.6
81,82000,-171.2
82,83000,-137.8
83,84000,-200.0
84,85000,-129.2
85,86000,-190.6
86,87000,-119.8
87,88000,-100.8
88,89000,-117.8
89,90000,-119.2
90,91000,-119.4
91,92000,-108.6
92,93000,-141.4
93,94000,-200.0
94,95000,-103.8
95,96000,-98.2
96,97000,-135.6
97,98000,-115.2
98,99000,-127.8
99,100000,-99.8
100,101000,-106.4
101,102000,-112.8
102,103000,-129.4
103,104000,-109.2
104,105000,-132.4
105,106000,-102.2
106,107000,-102.6
107,108000,-105.2
108,109000,-105.0
109,110000,-110.2
110,111000,-106.2
111,112000,-118.2
112,113000,-135.6
113,114000,-127.2
114,115000,-120.8
115,116000,-118.2
116,117000,-113.4
117,118000,-125.8
118,119000,-98.4
119,120000,-105.6
120,121000,-101.2
121,122000,-99.8
122,123000,-101.0
123,124000,-102.0
124,125000,-95.0
125,126000,-96.0
126,127000,-96.4
127,128000,-105.6
128,129000,-107.2
129,130000,-97.4
130,131000,-128.2
131,132000,-104.0
132,133000,-200.0
133,134000,-163.4
134,135000,-100.8
135,136000,-113.8
136,137000,-200.0
137,138000,-106.8
138,139000,-180.0
139,140000,-107.6
140,141000,-118.4
141,142000,-115.2
142,143000,-140.0
143,144000,-106.0
144,145000,-112.2
145,146000,-109.0
146,147000,-111.2
147,148000,-112.0
148,149000,-108.0
149,150000,-200.0
150,151000,-200.0
151,152000,-200.0
152,153000,-200.0
153,154000,-152.8
154,155000,-125.0
155,156000,-138.0
156,157000,-184.0
157,158000,-158.4
158,159000,-142.6
159,160000,-200.0
160,161000,-200.0
161,162000,-131.8
162,163000,-200.0
163,164000,-200.0
164,165000,-169.8
165,166000,-140.8
166,167000,-200.0
167,168000,-156.2
168,169000,-200.0
169,170000,-110.4
170,171000,-200.0
171,172000,-193.0
172,173000,-200.0
173,174000,-200.0
174,175000,-159.6
175,176000,-141.2
176,177000,-200.0
177,178000,-200.0
178,179000,-200.0
179,180000,-200.0
180,181000,-190.0
181,182000,-200.0
182,183000,-157.0
183,184000,-200.0
184,185000,-200.0
185,186000,-200.0
186,187000,-200.0
187,188000,-200.0
188,189000,-200.0
189,190000,-200.0
190,191000,-200.0
191,192000,-200.0
192,193000,-200.0
193,194000,-200.0
194,195000,-200.0
195,196000,-176.0
196,197000,-200.0
197,198000,-200.0
198,199000,-200.0
199,200000,-200.0
