,Time Steps,Average Total Reward
0,4000,-200.0
1,8000,-200.0
2,12000,-200.0
3,16000,-200.0
4,20000,-200.0
5,24000,-200.0
6,28000,-200.0
7,32000,-200.0
8,36000,-200.0
9,40000,-200.0
10,44000,-200.0
11,48000,-200.0
12,52000,-200.0
13,56000,-200.0
14,60000,-200.0
15,64000,-200.0
16,68000,-200.0
17,72000,-200.0
18,76000,-200.0
19,80000,-200.0
20,84000,-200.0
21,88000,-200.0
22,92000,-200.0
23,96000,-200.0
24,100000,-200.0
25,104000,-200.0
26,108000,-200.0
27,112000,-200.0
28,116000,-200.0
29,120000,-200.0
30,124000,-198.8
31,128000,-198.4
32,132000,-200.0
33,136000,-200.0
34,140000,-200.0
35,144000,-200.0
36,148000,-200.0
37,152000,-200.0
38,156000,-200.0
39,160000,-200.0
40,164000,-200.0
41,168000,-200.0
42,172000,-200.0
43,176000,-200.0
44,180000,-200.0
45,184000,-200.0
46,188000,-200.0
47,192000,-200.0
48,196000,-200.0
49,200000,-200.0
50,204000,-200.0
51,208000,-200.0
52,212000,-200.0
53,216000,-200.0
54,220000,-200.0
55,224000,-200.0
56,228000,-200.0
57,232000,-200.0
58,236000,-200.0
59,240000,-200.0
60,244000,-200.0
61,248000,-200.0
62,252000,-200.0
63,256000,-200.0
64,260000,-200.0
65,264000,-200.0
66,268000,-200.0
67,272000,-200.0
68,276000,-200.0
69,280000,-200.0
70,284000,-200.0
71,288000,-200.0
72,292000,-198.4
73,296000,-200.0
74,300000,-200.0
75,304000,-200.0
76,308000,-200.0
77,312000,-200.0
78,316000,-200.0
79,320000,-200.0
80,324000,-200.0
81,328000,-200.0
82,332000,-200.0
83,336000,-200.0
84,340000,-200.0
85,344000,-200.0
86,348000,-183.8
87,352000,-200.0
88,356000,-151.2
89,360000,-149.8
90,364000,-150.0
91,368000,-183.0
92,372000,-165.6
93,376000,-165.4
94,380000,-150.2
95,384000,-148.6
96,388000,-148.4
97,392000,-165.6
98,396000,-148.8
99,400000,-115.8
100,404000,-114.8
101,408000,-115.0
102,412000,-114.8
103,416000,-148.6
104,420000,-115.8
105,424000,-116.2
106,428000,-115.8
107,432000,-114.0
108,436000,-130.4
109,440000,-115.2
110,444000,-114.8
111,448000,-114.4
112,452000,-113.6
113,456000,-113.2
114,460000,-112.0
115,464000,-114.2
116,468000,-112.6
117,472000,-113.8
118,476000,-111.6
119,480000,-113.2
120,484000,-113.2
121,488000,-114.0
122,492000,-119.0
123,496000,-119.4
124,500000,-119.4
125,504000,-110.0
126,508000,-126.6
127,512000,-134.6
128,516000,-125.8
129,520000,-110.6
130,524000,-119.8
131,528000,-112.4
132,532000,-112.8
133,536000,-112.0
134,540000,-112.0
135,544000,-112.4
136,548000,-112.0
137,552000,-112.8
138,556000,-113.2
139,560000,-115.8
140,564000,-112.6
141,568000,-111.2
142,572000,-112.2
143,576000,-112.4
144,580000,-112.2
145,584000,-112.4
146,588000,-112.2
147,592000,-112.6
148,596000,-112.2
149,600000,-112.4
150,604000,-112.2
151,608000,-112.6
152,612000,-130.8
153,616000,-112.0
154,620000,-112.0
155,624000,-110.8
156,628000,-120.8
157,632000,-121.4
158,636000,-120.0
159,640000,-130.8
160,644000,-110.2
161,648000,-132.4
162,652000,-110.6
163,656000,-109.2
164,660000,-111.4
165,664000,-111.8
166,668000,-111.0
167,672000,-114.8
168,676000,-114.6
169,680000,-114.4
170,684000,-113.2
171,688000,-113.2
172,692000,-111.6
173,696000,-110.8
174,700000,-113.0
175,704000,-112.2
176,708000,-112.4
177,712000,-112.6
178,716000,-110.4
179,720000,-110.2
180,724000,-112.2
181,728000,-110.8
182,732000,-112.6
183,736000,-111.8
184,740000,-111.4
185,744000,-113.0
186,748000,-110.4
187,752000,-111.0
188,756000,-111.6
189,760000,-112.2
190,764000,-111.2
191,768000,-111.4
192,772000,-110.8
193,776000,-111.4
194,780000,-105.0
195,784000,-110.4
196,788000,-104.0
197,792000,-98.4
198,796000,-105.0
199,800000,-111.4
200,804000,-100.8
201,808000,-100.8
202,812000,-110.0
203,816000,-110.2
204,820000,-109.0
205,824000,-109.8
206,828000,-104.4
207,832000,-103.0
208,836000,-102.0
209,840000,-109.0
210,844000,-106.8
211,848000,-102.8
212,852000,-99.2
213,856000,-109.4
214,860000,-109.2
215,864000,-108.0
216,868000,-103.8
217,872000,-109.0
218,876000,-108.2
219,880000,-111.8
220,884000,-130.6
221,888000,-91.4
222,892000,-119.6
223,896000,-116.6
224,900000,-111.6
225,904000,-98.0
226,908000,-105.8
227,912000,-106.8
228,916000,-111.6
229,920000,-113.2
230,924000,-100.2
231,928000,-106.2
232,932000,-103.2
233,936000,-100.8
234,940000,-111.0
235,944000,-105.8
236,948000,-103.8
237,952000,-98.2
238,956000,-102.2
239,960000,-103.8
240,964000,-103.0
241,968000,-101.0
242,972000,-100.2
243,976000,-118.8
244,980000,-103.2
245,984000,-103.2
246,988000,-97.8
247,992000,-104.4
248,996000,-104.8
249,1000000,-102.8
250,1004000,-103.8
